,morpho_moment_axon_L1_µ_0,morpho_moment_axon_L1_µ_1x,morpho_moment_axon_L1_µ_1y,morpho_moment_axon_L1_µ_2x,morpho_moment_axon_L1_µ_2y,morpho_moment_axon_L23_µ_0,morpho_moment_axon_L23_µ_1x,morpho_moment_axon_L23_µ_1y,morpho_moment_axon_L23_µ_2x,morpho_moment_axon_L23_µ_2y,morpho_moment_axon_L4_µ_0,morpho_moment_axon_L4_µ_1x,morpho_moment_axon_L4_µ_1y,morpho_moment_axon_L4_µ_2x,morpho_moment_axon_L4_µ_2y,morpho_moment_axon_L5_µ_0,morpho_moment_axon_L5_µ_1x,morpho_moment_axon_L5_µ_1y,morpho_moment_axon_L5_µ_2x,morpho_moment_axon_L5_µ_2y,morpho_moment_axon_L6_µ_0,morpho_moment_axon_L6_µ_1x,morpho_moment_axon_L6_µ_1y,morpho_moment_axon_L6_µ_2x,morpho_moment_axon_L6_µ_2y,morpho_moment_dendrites_L1_µ_0,morpho_moment_dendrites_L1_µ_1x,morpho_moment_dendrites_L1_µ_1y,morpho_moment_dendrites_L1_µ_2x,morpho_moment_dendrites_L1_µ_2y,morpho_moment_dendrites_L23_µ_0,morpho_moment_dendrites_L23_µ_1x,morpho_moment_dendrites_L23_µ_1y,morpho_moment_dendrites_L23_µ_2x,morpho_moment_dendrites_L23_µ_2y,morpho_moment_dendrites_L4_µ_0,morpho_moment_dendrites_L4_µ_1x,morpho_moment_dendrites_L4_µ_1y,morpho_moment_dendrites_L4_µ_2x,morpho_moment_dendrites_L4_µ_2y,morpho_moment_dendrites_L5_µ_0,morpho_moment_dendrites_L5_µ_1x,morpho_moment_dendrites_L5_µ_1y,morpho_moment_dendrites_L5_µ_2x,morpho_moment_dendrites_L5_µ_2y,morpho_moment_dendrites_L6_µ_0,morpho_moment_dendrites_L6_µ_1x,morpho_moment_dendrites_L6_µ_1y,morpho_moment_dendrites_L6_µ_2x,morpho_moment_dendrites_L6_µ_2y,morpho_nm_total_length,morpho_nm_total_length_per_neurite,morpho_nm_neurite_lengths,morpho_nm_terminal_path_lengths_per_neurite,morpho_nm_section_lengths,morpho_nm_section_term_lengths,morpho_nm_section_bif_lengths,morpho_nm_neurite_volumes,morpho_nm_neurite_volume_density,morpho_nm_section_volumes,morpho_nm_section_areas,morpho_nm_section_tortuosity,morpho_nm_section_path_distances,morpho_nm_number_of_sections,morpho_nm_number_of_sections_per_neurite,morpho_nm_number_of_neurites,morpho_nm_number_of_bifurcations,morpho_nm_number_of_forking_points,morpho_nm_number_of_terminations,morpho_nm_section_branch_orders,morpho_nm_section_term_branch_orders,morpho_nm_section_bif_branch_orders,morpho_nm_section_radial_distances,morpho_nm_section_bif_radial_distances,morpho_nm_section_term_radial_distances,morpho_nm_section_end_distances,morpho_nm_section_strahler_orders,morpho_nm_local_bifurcation_angles,morpho_nm_remote_bifurcation_angles,morpho_nm_partition,morpho_nm_partition_asymmetry,morpho_nm_partition_pairs,morpho_nm_partition_asymmetry_length,morpho_nm_sibling_ratio,morpho_nm_diameter_power_relation,morpho_nm_number_of_segments,morpho_nm_segment_lengths,morpho_nm_segment_areas,morpho_nm_segment_volumes,morpho_nm_segment_radii,morpho_nm_segment_midpoints,morpho_nm_segment_taper_rates,morpho_nm_segment_path_lengths,morpho_nm_section_taper_rates,morpho_nm_segment_radial_distances,morpho_nm_segment_meander_angles,morpho_nm_principal_direction_extents,morpho_nm_total_area_per_neurite
L1_DAC_C270106A.swc,0.5929595664786617,-0.33210492612024156,0.24146272424643678,0.7119547892507374,-1.05299831534999,1.6157579566274671,0.3669468616097218,-0.8522051897646864,2.0030464104203287,0.08288142939857761,-0.27161148302005633,0.8921364974522699,0.0,0.0,0.0,0.021960488681585497,0.017685142965306155,0.021608479898906036,0.01786252583351225,0.03623363705258314,0.005809563595862547,0.005805587976835944,0.0004087544286654404,0.0,0.0,0.7369991942899671,-0.4062982918402938,0.2966364379554695,0.5971178878311328,-0.8385846958638348,1.2247388136885784,0.31667398953502046,-0.6809904676540325,1.4682328893873289,0.0,0.0,0.0,0.0,0.0,0.0,0.0004419807624255517,0.010831728479272214,0.04203052282810344,0.006562611049474348,0.04222593297428509,0.010590665140688614,0.0,0.0,0.0,0.0,49.3433306326624,12.3358326581656,,,0.1781347692012787,0.18918484449386597,0.1711140125989914,,792.1819460117389,0.02810393043586834,0.2888065691425616,1.3454039096832275,1.3320696669393672,277.0,69.25,4.0,129.0,134.0,,7.028880866425993,7.8321678321678325,6.255813953488372,0.36251336336135864,0.32855165004730225,0.39517122507095337,0.1486089527606964,1.7509025270758123,1.6493819835923877,1.6669900492392333,,0.32444169326669947,7.12015503875969,0.04927358114577832,,,5286.0,0.009334719739854336,0.015134207274402109,0.0014727182615844742,0.16742053627967834,-0.22171306610107422,0.46519652009010315,1.2000561219959767,-0.23591789603233337,0.36152184009552,2.6578124169472677,1.3277950865053023,19.99985491312239
L1_DAC_C270106C.swc,0.6224380164994459,-0.42229009231518205,0.3213131423024533,0.6364504215153639,-0.8889834810523715,1.298364163160144,0.32351255548376845,-0.7742643222666741,1.882353620942495,0.25383872650879225,-0.8779380491317677,3.0529129202115404,0.19597781491257507,-0.9435957680496513,4.585791079433732,0.0069251971944521255,0.013675109631383412,0.07514432935920108,0.029663675809508346,0.018647671052785062,0.010422825045827594,0.035215994487461676,0.005867787187889381,0.014875498569290591,0.001233077179834641,0.7234844965733072,-0.4371071719325964,0.305301739578657,0.6275344490237289,-0.9163544080690693,1.3901778324372784,0.2876989720290174,-0.6933485702885248,1.701278930600108,0.0,0.0,0.0,0.0,0.0,0.0,-0.006946779593210237,0.0017913419877872289,-0.012257559132972096,0.0011051927747508423,-0.012727166988872041,0.0007946618104518909,0.0,0.0,0.0,0.0,29.55678526160773,3.694598157700966,,,0.18946658074855804,0.2073964625597,0.16959834098815918,,11536.25340467244,0.025635951629741492,0.331062574412707,1.4034314155578613,0.9161601917876396,156.0,19.5,8.0,74.0,74.0,,4.910256410256411,5.573170731707317,4.175675675675675,0.38468173146247864,0.31141579151153564,0.4507997930049896,0.15557558834552765,1.6602564102564104,1.6156100805909959,1.5572514355763851,,0.38400087875894323,5.175675675675675,0.08997756704386872,,,3984.0,0.007418871857225895,0.012963293576401172,0.0010038173830922874,0.17387674748897552,-0.24838820099830627,1.3441588878631592,0.9314655482394812,-0.6761896014213562,0.41993749141693115,2.681204728506028,1.006944063006057,6.455720201047784
L1_DAC_C270106G.swc,0.8314697714038112,-0.3421384351762846,0.2855130537959472,0.5307519491956333,-0.6897088948515397,0.9311533432555867,0.1641961865170135,-0.37451198308905886,0.8622891452958837,0.0,0.0,0.0,0.0,0.0,0.0,0.007852258505722808,0.010919311193804024,-0.001838645687188921,0.008615728031830286,0.019383659197520005,0.0023144671777236866,0.0,0.0,0.0,0.0,0.8384427719119648,-0.23839384753005918,0.20948670808819533,0.5214809261448794,-0.7753582237517426,1.1925365678721787,0.15833938832665648,-0.3279518334435401,0.6796096224363153,0.0,0.0,0.0,0.0,0.0,0.0,0.009956389828905114,0.0009966572464207664,-0.0003271465708480365,0.0009075179738667348,-0.0003067752624706638,0.00028045526845209387,0.0,0.0,0.0,0.0,32.39937222166918,5.399895370278197,,,0.16281093657016754,0.17285968363285065,0.15771006047725677,,1922.7229474201167,0.021281694966116427,0.23648437510970186,1.42634117603302,0.7292649566029765,199.0,33.166666666666664,6.0,89.0,94.0,,6.698492462311558,7.276190476190476,6.370786516853933,0.29989802837371826,0.23574475944042206,0.36626705527305603,0.13005602359771729,1.6884422110552764,1.5919864519180877,1.434058070011931,,0.3215467486991302,7.123595505617978,0.10328752602040056,,,2691.0,0.01203990075737238,0.01748806787321838,0.0015737856924032587,0.12859995663166046,-0.12742500007152557,,0.7840161656729658,-0.5660790205001831,0.301570326089859,2.6782647580383845,1.0698719856652297,7.843398441138443
L1_DAC_sm080529a1-5_idA.swc,0.6990870737361149,-0.32295645579815335,0.2388477710835435,0.6674222071891395,-0.9833298463273416,1.5031743560718316,0.22359498300792768,-0.49238817405462143,1.0930450825252926,0.07787674216741852,-0.2725888309714772,0.9605701646549223,0.09881982234818755,-0.472385822664133,2.27872795229899,-0.0020846239889593396,0.03329726894246663,0.027861698335525868,0.0503174543676462,-0.0015440327373864113,0.011240936002725554,-0.00783585965481433,0.0007913386075783484,-0.009009739414747782,0.0008227808260085038,0.7471284439355488,-0.48186388357781035,0.3411605371624462,0.6619896506773635,-0.8823531259076607,1.2174750776233438,0.059739356026890976,-0.12112269392879962,0.24559155711068925,0.0,0.0,0.0,0.0,0.0,0.0,-0.00987054088451715,0.004348630993606385,-0.004232358376511949,0.0024168127147476182,0.001593523653190585,4.2615873223195586e-05,0.0,0.0,0.0,0.0,92.25283141294494,13.178975916134991,,,0.20186614990234375,0.18620812892913818,0.21801131963729858,,215514.1570333907,0.02599381165853887,2.344925882249634,1.8337923288345337,1.8648460050769704,457.0,65.28571428571429,7.0,225.0,225.0,,10.218818380743983,11.03448275862069,9.377777777777778,0.3595426678657532,0.33787497878074646,0.3805566430091858,0.13331778347492218,1.7811816192560175,1.746891920132787,1.4903054167378085,,0.394746343790772,10.377777777777778,0.039847881128278986,,,25357.0,0.0036381601821631193,0.04226174737500819,0.0004684770251982594,0.13391105830669403,-0.20848064124584198,,1.8654435813791321,-0.033306434750556946,0.3568902611732483,2.5799984112672543,0.8743619006351747,153.09016116972612
L1_DAC_sm080619a1-7_idG.swc,0.9284895090764873,-0.02693852214944789,0.3069703243892876,0.3365539946316438,-0.45357498549922615,0.6346592722209283,0.11229464646501178,-0.27177650045476603,0.6685672699059664,0.10967475829781935,-0.3855298457611584,1.3629758394142226,0.0,0.0,0.0,-0.012367819728505976,0.010813576530068841,0.0010076738474940387,0.0007114997380478884,0.0021996075254222557,0.00020320139814986298,0.0026281829060740775,0.00016026504040089098,0.0,0.0,0.8752517099366369,0.19553755312533244,0.32762897388144374,0.33728023235664456,-0.5090807848746909,0.790248385399193,0.3466648080126404,-0.8042419656165765,1.8715100164538012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021644760958697464,0.0015435876980532282,-0.0004210801139192895,3.5973569520907322e-06,-0.006385211865890749,0.0003675466483184536,0.0,0.0,0.0,0.0,54.547438147012144,10.90948762940243,,,0.15365475416183472,0.13530707359313965,0.17252664268016815,,41880788.53699885,0.013703794370003118,1.2484391316635008,1.7605754137039185,1.3925896685006438,355.0,71.0,5.0,175.0,175.0,,8.456338028169014,9.311111111111112,7.577142857142857,0.43460917472839355,0.3784465789794922,0.4892117381095886,0.11222101002931595,1.7521126760563381,1.4478555209382036,1.2378968997549704,,0.41839078331835206,8.577142857142857,0.044579379875897045,,,11888.0,0.004588445648550987,0.03728094647884782,0.0004092233345685655,0.13157932460308075,-0.07284089177846909,14.312749862670898,1.3064416182662384,-1.3350191116333008,0.4217817187309265,2.6537399785384155,1.0146716776826508,88.63917834810857
L1_DAC_sm080625a1-6_idD.swc,0.8784226915440747,-0.21916217327258042,0.23887602621530038,0.43764838549556767,-0.5683858970588805,0.7711513986578508,0.14064858917468104,-0.3317589400761775,0.7955602963741149,0.12991379613287884,-0.45023050593866026,1.5700402992723783,0.01333587609057228,-0.05351394633566052,0.21474044083937036,0.05906395064047328,0.035962051184818676,-0.011397389702887591,0.033894595332840595,-0.025434752180080792,0.00748778707434719,-0.010647972727411666,0.0011083633286672126,-0.0010498058748353808,8.264669552950895e-05,0.6939257277094403,-0.25492151555861015,0.19238369478310302,0.6909288704212935,-0.9493165821698765,1.3506533404503933,0.2026063592473616,-0.4354722446366002,0.9378951880696772,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038699010543633535,0.0007743305444767206,-0.006044014657245695,0.0013013718431909448,-0.0035193645727975525,0.0005784512406610519,0.0,0.0,0.0,0.0,95.1518377282191,11.893979716027388,,,0.16462256014347076,0.17485426366329193,0.15410363674163818,,2047219.4238005858,0.013636220804016818,0.5761690015645938,1.8938888311386108,1.246259575481301,578.0,72.25,8.0,285.0,285.0,,8.920415224913494,9.771331058020477,8.04561403508772,0.37277600169181824,0.32691818475723267,0.4173816442489624,0.11082082241773605,1.7335640138408304,1.7183873530269338,1.4091778247396374,,0.4024118364587143,9.04561403508772,0.033073346985505084,,,17264.0,0.005511575378477573,0.019290180891122295,0.00045654168354504867,0.1406465768814087,-0.12045682221651077,,1.2619155807248943,0.1356137990951538,0.3504534363746643,2.2853174396606426,0.8970638405202442,41.6282103630419
L1_DAC_sm080723a1-4_idC.swc,0.4658096036644214,-0.33042770906060065,0.2515915197502836,0.7621693309606428,-1.1395204242861854,1.7602365488888618,0.3939839482003356,-0.8900832865268951,2.0308683227154942,0.12946340223061173,-0.4568164943358026,1.6208698081660033,0.1735949311482071,-0.8829854461536012,4.538609116720817,0.018243059924517295,0.004079708405614327,-0.010610964130271107,0.03645158949232137,-0.013462778100548233,0.010955015396117202,-0.00545522767330225,0.00025201551612074306,-0.00951899328703616,0.000528793980221317,0.6266584368407379,-0.4847522645768129,0.3898421988032987,0.7754404147082281,-1.0075293217769874,1.3517233478710717,0.07740391962591048,-0.15687427456192354,0.317951571861234,0.0,0.0,0.0,0.0,0.0,0.0,-0.007944004559069106,0.00021092068611774088,-0.01423035431595857,0.0006712427142277972,-0.001114690512586071,1.7045489430891408e-05,0.0,0.0,0.0,0.0,49.24895857356023,7.035565510508604,,,0.12926237285137177,0.14363792538642883,0.11434867233037949,,26223.511357902073,0.012265049040175165,1.6032088949216445,1.6765570640563965,1.0619889468512573,381.0,54.42857142857143,7.0,187.0,187.0,,12.719160104986877,13.45360824742268,11.957219251336898,0.41919857263565063,0.4160369336605072,0.42224615812301636,0.09023711085319519,1.8136482939632546,1.7393197129997788,1.5163868278979038,,0.42169103636321525,12.957219251336898,0.07346421514039361,,,16997.0,0.0028975086752325296,0.03593708236542605,0.00027492991023749707,0.12492749094963074,-0.30311569571495056,8.16516399383545,1.1393593042164645,0.5540036559104919,0.43592962622642517,2.611936010542779,0.8214656903290347,87.26036985216378
L1_DAC_sm080930a1-5_idC.swc,0.4790608830796752,-0.31128556429335574,0.24538458126470167,0.7739947167527422,-1.1038863629368845,1.6416803054488394,0.3561053076917883,-0.8496667963902265,2.06269623312081,0.21123886615748672,-0.7108533035609846,2.4050880486011446,0.0,0.0,0.0,-0.0411657899781479,0.007578363296568589,-0.04121751762898191,0.011419653658802155,0.01052166858765254,0.0027260322185292275,0.017714342130705194,0.002260003555385129,0.0,0.0,0.7891033055234926,-0.44514711655236205,0.316465031704806,0.5935085339759563,-0.8318131731555911,1.2103854982200144,0.15831485498716952,-0.32839715631606775,0.6816280103433225,0.0,0.0,0.0,0.0,0.0,0.0,0.00743238604094281,0.0016817498570693863,-0.011475964565975957,0.001193895813008491,-0.005514863728585757,0.0004114960977745224,0.0,0.0,0.0,0.0,19.85707493778318,2.836724991111883,,,0.18558013439178467,0.21172241866588593,0.1557779163122177,,25850.252248404402,0.032348254060363436,1.5161621020635747,1.7843351364135742,0.5728346533707787,107.0,15.285714285714286,7.0,50.0,50.0,,4.0,4.631578947368421,3.28,0.25773391127586365,0.17698551714420319,0.32856589555740356,0.14283320307731628,1.6822429906542056,1.4220976493601392,1.5327229229137453,,0.2578787878787879,4.28,0.0847614024526812,,,3183.0,0.006238477770239115,0.05096743478504635,0.0010874216727800464,0.18648052215576172,-0.23623618483543396,,0.6148728289154419,-2.604962110519409,0.31335777044296265,2.5988433940067948,0.8640220769055365,23.17562070297179
L1_DAC_sm090918b1-3_idA.swc,0.7228493988504581,-0.4048163610717041,0.29424004405134835,0.6515630331344281,-0.9077568308189674,1.3047526710152306,0.17692790125614585,-0.4185561863674628,1.008177632932889,0.13233460971319977,-0.4413840309229302,1.479883591604125,0.06433062461492202,-0.26555530034206876,1.0965449588812493,0.043039830894256004,0.022387976444370666,0.08562768185374922,0.029039438750876792,0.0066557391253447605,0.0013350962132971395,0.00988704897168093,0.002115653474488301,0.009795416102649114,0.0015073626735941372,0.727155004745326,-0.376136256537988,0.27071349598769745,0.6352613713272731,-0.9755092783826962,1.552212015629804,0.260170308016148,-0.5652401887727203,1.233387292793064,0.0,0.0,0.0,0.0,0.0,0.0,-0.005721396676818086,0.0009488405085747972,-0.01673069585747494,0.0014923995120584544,0.005359732244824761,0.00023594620368880373,0.0,0.0,0.0,0.0,95.83085672272136,19.166171344544274,,,0.14030872285366058,0.15679281949996948,0.12337273359298706,,2748.3260744032204,0.009677349495399539,1.0029058374216842,1.5733126401901245,1.1116012582918635,683.0,136.6,5.0,336.0,338.0,,12.093704245973646,12.965217391304348,11.24702380952381,0.3758833706378937,0.30881690979003906,0.4421341121196747,0.10901109129190445,1.787701317715959,1.575026748047422,1.2025102940678374,,0.41267280444340754,12.125,0.03722499332165443,,,20028.0,0.004784843884408474,0.034201352454514194,0.0003300194580266569,0.11366438120603561,-0.18482807278633118,,1.0806584239944037,0.7537372708320618,0.34089595079421997,2.3405669285998565,1.0979939973057529,136.99693739180205
L1_DAC_sm090918b1-3_idB.swc,0.8543832186156799,-0.36462527952274293,0.25678638608393795,0.4685614606519975,-0.6390676696645844,0.9093040268381868,0.19309013321915325,-0.4515446988178703,1.0699850378906528,0.11487242398847333,-0.3949230624699325,1.3638619901088733,0.0,0.0,0.0,0.01633371771042953,0.04496649460023836,0.05234313367316108,0.026061287211162115,0.009546010857999785,0.006094029602520111,-0.01093021778385861,0.0010894977253151734,0.0,0.0,0.7819442550536297,-0.2621373204159536,0.15631193274133232,0.5997482530321353,-0.8253165954515798,1.167888454832931,0.1698976602944437,-0.3757923532820985,0.8348539478660587,0.0,0.0,0.0,0.0,0.0,0.0,-0.016734154103534363,0.0011763276802748282,-0.009370231744217812,0.0005953764309126274,0.0024863869889409492,7.055526406903967e-05,0.0,0.0,0.0,0.0,72.60001595213544,8.06666843912616,,,0.11083972454071045,0.10716275870800018,0.11460082232952118,,18394.402793864603,0.00923233060998826,0.9924353880600417,1.507511854171753,1.9393268129644374,655.0,72.77777777777777,9.0,317.0,321.0,,18.746564885496184,19.419161676646706,18.126182965299684,0.3444443643093109,0.3118774890899658,0.3769153356552124,0.08570466935634613,1.8244274809160306,1.714436531067986,1.555929769914705,,0.4800137122277376,19.27602523659306,0.07973705968540809,,,15571.0,0.004662514664232731,0.04174716968591145,0.00038836147643326116,0.11929018795490265,-0.14094799757003784,,1.9835579167244315,0.3600400388240814,0.32498782873153687,2.2804547180251187,0.7906572529271974,72.22724213103635
